loss_rate,iteration,worker_id,throughput
0.01,1,0,93.3
0.01,1,1,93.7
0.01,1,2,92.2
0.1,1,0,26.4
0.1,1,1,34.5
0.1,1,2,48.9
0.2,1,0,20.1
0.2,1,1,24.4
0.2,1,2,28.8
0.3,1,0,20.6
0.3,1,1,17.4
0.3,1,2,13.2
0.4,1,0,15.1
0.4,1,1,7.95
0.4,1,2,8.6
0.5,1,0,8.32
0.5,1,1,12.3
0.5,1,2,7.97
0.6,1,0,12.9
0.6,1,1,7.46
0.6,1,2,5.92
0.7,1,0,6.12
0.7,1,1,6.4
0.7,1,2,6.03
0.8,1,0,5.51
0.8,1,1,6.89
0.8,1,2,6.52
0.9,1,0,6.13
0.9,1,1,5.5
0.9,1,2,6.01
1.0,1,0,6.33
1.0,1,1,6.38
1.0,1,2,5.99
1.1,1,0,5.65
1.1,1,1,5.62
1.1,1,2,6.34
1.2,1,0,5.41
1.2,1,1,4.65
1.2,1,2,5.19
1.3,1,0,4.13
1.3,1,1,5.22
1.3,1,2,5.04
1.4,1,0,7.21
1.4,1,1,4.96
1.4,1,2,8.23
1.5,1,0,5.19
1.5,1,1,4.41
1.5,1,2,5.6
1.6,1,0,4.16
1.6,1,1,5.06
1.6,1,2,5.3
1.7,1,0,4.88
1.7,1,1,4.6
1.7,1,2,4.65
1.8,1,0,4.06
1.8,1,1,4.92
1.8,1,2,4.37
1.9,1,0,4.86
1.9,1,1,3.69
1.9,1,2,3.96
2.0,1,0,3.75
2.0,1,1,2.96
2.0,1,2,4.26
